"","Illumina.Probe.ID","Ensembl.Gene.ID","GeneSymbol_Human","Gene.Description","Chromosome","Gene.Start..bp.","Gene.End..bp.","Module"
"1865","ILMN_1715113","ENSG00000112855","HARS2","histidyl-tRNA synthetase 2, mitochondrial ","5"," 140,071,011 "," 140,078,889 ","M16"
"1866","ILMN_1757877","ENSG00000103145","HCFC1R1","host cell factor C1 regulator 1 (XPO1 dependent) ","16"," 3,072,621 "," 3,074,287 ","M16"
"1867","ILMN_1676563","ENSG00000166033","HTRA1","HtrA serine peptidase 1 ","10"," 124,221,041 "," 124,274,424 ","M16"
"1868","ILMN_1747204","ENSG00000115317","HTRA2","HtrA serine peptidase 2 ","2"," 74,756,504 "," 74,760,472 ","M16"
"1869","ILMN_1730432","ENSG00000162729","IGSF8","immunoglobulin superfamily, member 8 ","1"," 160,061,130 "," 160,068,733 ","M16"
"1870","ILMN_1698463","ENSG00000129351","ILF3","interleukin enhancer binding factor 3, 90kDa ","19"," 10,764,937 "," 10,803,093 ","M16"
"1871","ILMN_1725169","ENSG00000138785","INTS12","integrator complex subunit 12 ","4"," 106,603,784 "," 106,817,143 ","M16"
"1872","ILMN_2169025","ENSG00000161677","JOSD2","Josephin domain containing 2 ","19"," 51,009,255 "," 51,014,610 ","M16"
"1873","ILMN_1683277","ENSG00000142687","KIAA0319L","KIAA0319-like ","1"," 35,899,091 "," 36,023,551 ","M16"
"1874","ILMN_1715968","ENSG00000105663","KMT2B","lysine (K)-specific methyltransferase 2B ","19"," 36,208,921 "," 36,229,779 ","M16"
"1875","ILMN_2091375","ENSG00000172086","KRCC1","lysine-rich coiled-coil 1 ","2"," 88,326,724 "," 88,355,248 ","M16"
"1876","ILMN_1807016","ENSG00000106689","LHX2","LIM homeobox 2 ","9"," 126,763,949 "," 126,795,580 ","M16"
"1877","ILMN_2142117","ENSG00000143353","LYPLAL1","lysophospholipase-like 1 ","1"," 219,347,186 "," 219,386,207 ","M16"
"1878","ILMN_1685631","ENSG00000129933","MAU2","MAU2 chromatid cohesion factor homolog (C. elegans) ","19"," 19,431,623 "," 19,469,563 ","M16"
"1879","ILMN_2363426","ENSG00000125952","MAX","MYC associated factor X ","14"," 65,472,892 "," 65,569,413 ","M16"
"1880","ILMN_1706273","ENSG00000182208","MOB2","MOB kinase activator 2 ","11"," 1,490,687 "," 1,522,477 ","M16"
"1881","ILMN_1763264","ENSG00000112651","MRPL2","mitochondrial ribosomal protein L2 ","6"," 43,021,767 "," 43,027,544 ","M16"
"1882","ILMN_2348090","ENSG00000162910","MRPL55","mitochondrial ribosomal protein L55 ","1"," 228,294,380 "," 228,297,013 ","M16"
"1883","ILMN_1739641","ENSG00000100330","MTMR3","myotubularin related protein 3 ","22"," 30,279,144 "," 30,426,855 ","M16"
"1884","ILMN_1765001","ENSG00000243477","NAT6","N-acetyltransferase 6 (GCN5-related) ","3"," 50,333,833 "," 50,336,852 ","M16"
"1885","ILMN_1767139","ENSG00000186010","NDUFA13","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13 ","19"," 19,626,545 "," 19,639,863 ","M16"
"1886","ILMN_2086417","ENSG00000178127","NDUFV2","NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa ","18"," 9,102,628 "," 9,134,343 ","M16"
"1887","ILMN_1742432","ENSG00000188986","NELFB","negative elongation factor complex member B ","9"," 140,149,625 "," 140,167,998 ","M16"
"1888","ILMN_1700159","ENSG00000136783","NIPSNAP3A","nipsnap homolog 3A (C. elegans) ","9"," 107,509,969 "," 107,522,403 ","M16"
"1889","ILMN_1705783","ENSG00000162231","NXF1","nuclear RNA export factor 1 ","11"," 62,559,595 "," 62,573,774 ","M16"
"1890","ILMN_2358652","ENSG00000162231","NXF1","nuclear RNA export factor 1 ","11"," 62,559,595 "," 62,573,774 ","M16"
"1891","ILMN_1668345","ENSG00000184232","OAF","OAF homolog (Drosophila) ","11"," 120,081,475 "," 120,101,041 ","M16"
"1892","ILMN_1728224","ENSG00000060491","OGFR","opioid growth factor receptor ","20"," 61,436,187 "," 61,445,352 ","M16"
"1893","ILMN_1719303","ENSG00000185624","P4HB","prolyl 4-hydroxylase, beta polypeptide ","17"," 79,801,035 "," 79,818,570 ","M16"
"1894","ILMN_1716488","ENSG00000175115","PACS1","phosphofurin acidic cluster sorting protein 1 ","11"," 65,837,834 "," 66,012,218 ","M16"
"1895","ILMN_2232368","ENSG00000100982","PCIF1","PDX1 C-terminal inhibiting factor 1 ","20"," 44,563,267 "," 44,576,662 ","M16"
"1896","ILMN_1745806","ENSG00000133027","PEMT","phosphatidylethanolamine N-methyltransferase ","17"," 17,408,877 "," 17,495,022 ","M16"
"1897","ILMN_1713037","ENSG00000141959","PFKL","phosphofructokinase, liver ","21"," 45,719,934 "," 45,747,259 ","M16"
"1898","ILMN_1666597","ENSG00000143393","PI4KB","phosphatidylinositol 4-kinase, catalytic, beta ","1"," 151,264,273 "," 151,300,191 ","M16"
"1899","ILMN_2366634","ENSG00000067225","PKM","pyruvate kinase, muscle ","15"," 72,491,370 "," 72,524,164 ","M16"
"1900","ILMN_1734184","ENSG00000151176","PLBD2","phospholipase B domain containing 2 ","12"," 113,796,371 "," 113,827,203 ","M16"
"1901","ILMN_1719972","ENSG00000130827","PLXNA3","plexin A3 ","X"," 153,686,621 "," 153,701,989 ","M16"
"1902","ILMN_1684289","ENSG00000108439","PNPO","pyridoxamine 5'-phosphate oxidase ","17"," 46,018,872 "," 46,025,654 ","M16"
"1903","ILMN_1688000","ENSG00000100227","POLDIP3","polymerase (DNA-directed), delta interacting protein 3 ","22"," 42,979,727 "," 43,010,968 ","M16"
"1904","ILMN_1680341","ENSG00000084072","PPIE","peptidylprolyl isomerase E (cyclophilin E) ","1"," 40,157,854 "," 40,229,586 ","M16"
"1905","ILMN_1788961","ENSG00000221914","PPP2R2A","protein phosphatase 2, regulatory subunit B, alpha ","8"," 26,149,007 "," 26,230,196 ","M16"
"1906","ILMN_1733930","ENSG00000138073","PREB","prolactin regulatory element binding ","2"," 27,353,624 "," 27,357,543 ","M16"
"1907","ILMN_1700109","ENSG00000104960","PTOV1","prostate tumor overexpressed 1 ","19"," 50,353,992 "," 50,364,001 ","M16"
"1908","ILMN_1761031","ENSG00000158079","PTPDC1","protein tyrosine phosphatase domain containing 1 ","9"," 96,793,076 "," 96,872,138 ","M16"
"1909","ILMN_1798081","ENSG00000142949","PTPRF","protein tyrosine phosphatase, receptor type, F ","1"," 43,990,858 "," 44,089,343 ","M16"
"1910","ILMN_1681467","ENSG00000131242","RAB11FIP4","RAB11 family interacting protein 4 (class II) ","17"," 29,718,642 "," 29,865,236 ","M16"
"1911","ILMN_1670456","ENSG00000126254","RBM42","RNA binding motif protein 42 ","19"," 36,119,932 "," 36,128,588 ","M16"
"1912","ILMN_1685002","ENSG00000173653","RCE1","RCE1 homolog, prenyl protein protease (S. cerevisiae) ","11"," 66,610,306 "," 66,614,017 ","M16"
"1913","ILMN_1669310","ENSG00000140983","RHOT2","ras homolog family member T2 ","16"," 718,086 "," 724,174 ","M16"
"1914","ILMN_1763688","ENSG00000161939","RNASEK-C17orf49","RNASEK-C17orf49 readthrough ","17"," 6,915,954 "," 6,920,839 ","M16"
"1915","ILMN_1758831","ENSG00000092098","RNF31","ring finger protein 31 ","14"," 24,615,892 "," 24,629,870 ","M16"
"1916","ILMN_2211950","ENSG00000224906","RP1-102E24.9","","12"," 6,547,664 "," 6,548,018 ","M16"
"1917","ILMN_1685538","ENSG00000230207","RPL4P5","ribosomal protein L4 pseudogene 5 ","9"," 7,477,045 "," 7,478,320 ","M16"
"1918","ILMN_1702501","ENSG00000071242","RPS6KA2","ribosomal protein S6 kinase, 90kDa, polypeptide 2 ","6"," 166,822,852 "," 167,319,939 ","M16"
"1919","ILMN_1705679","ENSG00000130254","SAFB2","scaffold attachment factor B2 ","19"," 5,587,010 "," 5,624,057 ","M16"
"1920","ILMN_2069446","ENSG00000130254","SAFB2","scaffold attachment factor B2 ","19"," 5,587,010 "," 5,624,057 ","M16"
"1921","ILMN_2183409","ENSG00000073060","SCARB1","scavenger receptor class B, member 1 ","12"," 125,261,402 "," 125,367,214 ","M16"
"1922","ILMN_1714327","ENSG00000099381","SETD1A","SET domain containing 1A ","16"," 30,968,615 "," 30,996,437 ","M16"
"1923","ILMN_1754220","ENSG00000104897","SF3A2","splicing factor 3a, subunit 2, 66kDa ","19"," 2,236,520 "," 2,248,713 ","M16"
"1924","ILMN_1803110","ENSG00000189091","SF3B3","splicing factor 3b, subunit 3, 130kDa ","16"," 70,557,691 "," 70,608,820 ","M16"
"1925","ILMN_1785330","ENSG00000130147","SH3BP4","SH3-domain binding protein 4 ","2"," 235,860,617 "," 235,964,358 ","M16"
"1926","ILMN_1665384","ENSG00000175137","SH3BP5L","SH3-binding domain protein 5-like ","1"," 249,104,648 "," 249,120,832 ","M16"
"1927","ILMN_1697802","ENSG00000171612","SLC25A33","solute carrier family 25 (pyrimidine nucleotide carrier), member 33 ","1"," 9,599,541 "," 9,645,237 ","M16"
"1928","ILMN_2143566","ENSG00000141424","SLC39A6","solute carrier family 39 (zinc transporter), member 6 ","18"," 33,688,495 "," 33,709,348 ","M16"
"1929","ILMN_1757370","ENSG00000166311","SMPD1","sphingomyelin phosphodiesterase 1, acid lysosomal ","11"," 6,411,655 "," 6,416,228 ","M16"
"1930","ILMN_1693004","ENSG00000149639","SOGA1","suppressor of glucose, autophagy associated 1 ","20"," 35,405,845 "," 35,492,089 ","M16"
"1931","ILMN_1734602","ENSG00000167978","SRRM2","serine/arginine repetitive matrix 2 ","16"," 2,802,330 "," 2,822,539 ","M16"
"1932","ILMN_1791328","ENSG00000198648","STK39","serine threonine kinase 39 ","2"," 168,810,530 "," 169,104,651 ","M16"
"1933","ILMN_1663002","ENSG00000165283","STOML2","stomatin (EPB72)-like 2 ","9"," 35,099,888 "," 35,103,154 ","M16"
"1934","ILMN_1703866","ENSG00000196235","SUPT5H","suppressor of Ty 5 homolog (S. cerevisiae) ","19"," 39,926,796 "," 39,967,310 ","M16"
"1935","ILMN_1709114","ENSG00000100324","TAB1","TGF-beta activated kinase 1/MAP3K7 binding protein 1 ","22"," 39,795,746 "," 39,833,065 ","M16"
"1936","ILMN_1668639","ENSG00000169221","TBC1D10B","TBC1 domain family, member 10B ","16"," 30,368,423 "," 30,381,585 ","M16"
"1937","ILMN_1756542","ENSG00000104946","TBC1D17","TBC1 domain family, member 17 ","19"," 50,380,682 "," 50,392,005 ","M16"
"1938","ILMN_1667716","ENSG00000091947","TMEM101","transmembrane protein 101 ","17"," 42,088,556 "," 42,101,314 ","M16"
"1939","ILMN_1709659","ENSG00000179292","TMEM151A","transmembrane protein 151A ","11"," 66,059,341 "," 66,064,135 ","M16"
"1940","ILMN_1793632","ENSG00000186501","TMEM222","transmembrane protein 222 ","1"," 27,648,651 "," 27,662,891 ","M16"
"1941","ILMN_1703288","ENSG00000182087","TMEM259","transmembrane protein 259 ","19"," 1,009,647 "," 1,021,117 ","M16"
"1942","ILMN_1666050","ENSG00000164897","TMUB1","transmembrane and ubiquitin-like domain containing 1 ","7"," 150,778,167 "," 150,780,633 ","M16"
"1943","ILMN_1711368","ENSG00000167632","TRAPPC9","trafficking protein particle complex 9 ","8"," 140,742,586 "," 141,468,678 ","M16"
"1944","ILMN_1675577","ENSG00000166166","TRMT61A","tRNA methyltransferase 61 homolog A (S. cerevisiae) ","14"," 103,995,521 "," 104,003,410 ","M16"
"1945","ILMN_1663113","ENSG00000100304","TTLL12","tubulin tyrosine ligase-like family, member 12 ","22"," 43,562,628 "," 43,583,139 ","M16"
"1946","ILMN_1758497","ENSG00000167614","TTYH1","tweety homolog 1 (Drosophila) ","19"," 54,926,393 "," 54,948,080 ","M16"
"1947","ILMN_1682459","ENSG00000104833","TUBB4A","tubulin, beta 4A class IVa ","19"," 6,494,330 "," 6,502,859 ","M16"
"1948","ILMN_1814789","ENSG00000143569","UBAP2L","ubiquitin associated protein 2-like ","1"," 154,192,655 "," 154,243,986 ","M16"
"1949","ILMN_2050255","ENSG00000198276","UCKL1","uridine-cytidine kinase 1-like 1 ","20"," 62,571,186 "," 62,587,769 ","M16"
"1950","ILMN_1688011","ENSG00000005007","UPF1","UPF1 regulator of nonsense transcripts homolog (yeast) ","19"," 18,942,747 "," 18,979,045 ","M16"
"1951","ILMN_2406892","ENSG00000105176","URI1","URI1, prefoldin-like chaperone ","19"," 30,414,551 "," 30,506,611 ","M16"
"1952","ILMN_1790797","ENSG00000160948","VPS28","vacuolar protein sorting 28 homolog (S. cerevisiae) ","8"," 145,649,000 "," 145,653,931 ","M16"
"1953","ILMN_1710427","ENSG00000139722","VPS37B","vacuolar protein sorting 37 homolog B (S. cerevisiae) ","12"," 123,349,882 "," 123,380,991 ","M16"
"1954","ILMN_1666632","ENSG00000223501","VPS52","vacuolar protein sorting 52 homolog (S. cerevisiae) ","6"," 33,218,049 "," 33,239,824 ","M16"
"1955","ILMN_1788604","ENSG00000132471","WBP2","WW domain binding protein 2 ","17"," 73,841,780 "," 73,852,588 ","M16"
"1956","ILMN_2212354","ENSG00000227057","WDR46","WD repeat domain 46 ","6"," 33,246,885 "," 33,257,304 ","M16"
"1957","ILMN_1651438","ENSG00000179588","ZFPM1","zinc finger protein, FOG family member 1 ","16"," 88,519,725 "," 88,603,424 ","M16"
"1958","ILMN_1806713","ENSG00000154957","ZNF18","zinc finger protein 18 ","17"," 11,880,762 "," 11,900,827 ","M16"
"1959","ILMN_1758337","ENSG00000085644","ZNF213","zinc finger protein 213 ","16"," 3,179,778 "," 3,192,806 ","M16"
"1960","ILMN_1727300","ENSG00000167685","ZNF444","zinc finger protein 444 ","19"," 56,643,968 "," 56,672,262 ","M16"
"1961","ILMN_1761722","ENSG00000218891","ZNF579","zinc finger protein 579 ","19"," 56,088,899 "," 56,092,211 ","M16"
"1962","ILMN_2396672","ENSG00000099204","ABLIM1","actin binding LIM protein 1 ","10"," 116,190,872 "," 116,444,762 ","M17"
"1963","ILMN_2080158","ENSG00000237821","AC083873.4","","7"," 132,854,174 "," 132,855,272 ","M17"
"1964","ILMN_1778104","ENSG00000117054","ACADM","acyl-CoA dehydrogenase, C-4 to C-12 straight chain ","1"," 76,190,036 "," 76,253,260 ","M17"
"1965","ILMN_1654010","ENSG00000160216","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3 ","21"," 45,285,067 "," 45,406,417 ","M17"
"1966","ILMN_1662049","ENSG00000155189","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5 ","8"," 6,565,878 "," 6,617,184 ","M17"
"1967","ILMN_1687757","ENSG00000198610","AKR1C4","aldo-keto reductase family 1, member C4 ","10"," 5,237,425 "," 5,260,912 ","M17"
"1968","ILMN_1797964","ENSG00000177917","ARL6IP6","ADP-ribosylation-like factor 6 interacting protein 6 ","2"," 153,574,407 "," 153,617,767 ","M17"
"1969","ILMN_1716026","ENSG00000198960","ARMCX6","armadillo repeat containing, X-linked 6 ","X"," 100,870,110 "," 100,872,991 ","M17"
"1970","ILMN_1763311","ENSG00000134548","C12orf39","chromosome 12 open reading frame 39 ","12"," 21,679,241 "," 21,690,311 ","M17"
"1971","ILMN_2325574","ENSG00000166734","CASC4","cancer susceptibility candidate 4 ","15"," 44,580,927 "," 44,707,956 ","M17"
"1972","ILMN_1663791","ENSG00000236624","CCDC163P","coiled-coil domain containing 163, pseudogene ","1"," 45,959,538 "," 45,965,751 ","M17"
"1973","ILMN_2290998","ENSG00000173992","CCS","copper chaperone for superoxide dismutase ","11"," 66,360,292 "," 66,373,490 ","M17"
"1974","ILMN_1687074","ENSG00000081377","CDC14B","cell division cycle 14B ","9"," 99,252,523 "," 99,382,112 ","M17"
"1975","ILMN_2384536","ENSG00000198721","ECI2","enoyl-CoA delta isomerase 2 ","6"," 4,115,923 "," 4,135,831 ","M17"
"1976","ILMN_1672124","ENSG00000164125","FAM198B","family with sequence similarity 198, member B ","4"," 159,045,626 "," 159,094,470 ","M17"
"1977","ILMN_2378100","ENSG00000118564","FBXL5","F-box and leucine-rich repeat protein 5 ","4"," 15,606,162 "," 15,683,302 ","M17"
"1978","ILMN_1692191","ENSG00000146535","GNA12","guanine nucleotide binding protein (G protein) alpha 12 ","7"," 2,767,746 "," 2,883,958 ","M17"
"1979","ILMN_1763260","ENSG00000100644","HIF1A","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) ","14"," 62,162,231 "," 62,214,976 ","M17"
"1980","ILMN_1790881","ENSG00000150540","HNMT","histamine N-methyltransferase ","2"," 138,721,590 "," 138,773,930 ","M17"
"1981","ILMN_2383934","ENSG00000150093","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) ","10"," 33,189,247 "," 33,294,720 ","M17"
"1982","ILMN_1708957","ENSG00000196091","MYBPC1","myosin binding protein C, slow type ","12"," 101,962,131 "," 102,079,796 ","M17"
"1983","ILMN_1869897","ENSG00000151414","NEK7","NIMA-related kinase 7 ","1"," 198,126,093 "," 198,291,550 ","M17"
"1984","ILMN_1697614","ENSG00000100138","NHP2L1","NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae) ","22"," 42,069,934 "," 42,086,508 ","M17"
"1985","ILMN_1711748","ENSG00000100979","PLTP","phospholipid transfer protein ","20"," 44,527,399 "," 44,540,794 ","M17"
"1986","ILMN_1739161","ENSG00000067113","PPAP2A","phosphatidic acid phosphatase type 2A ","5"," 54,720,682 "," 54,830,878 ","M17"
"1987","ILMN_1776105","ENSG00000146733","PSPH","phosphoserine phosphatase ","7"," 56,078,744 "," 56,119,297 ","M17"
"1988","ILMN_1696591","ENSG00000139687","RB1","retinoblastoma 1 ","13"," 48,877,887 "," 49,056,122 ","M17"
"1989","ILMN_1701696","ENSG00000235183","RP11-613C6.4","","17"," 47,872,705 "," 47,873,031 ","M17"
"1990","ILMN_1655422","ENSG00000265681","RPL17","ribosomal protein L17 ","18"," 47,014,851 "," 47,018,906 ","M17"
"1991","ILMN_1709880","ENSG00000089157","RPLP0","ribosomal protein, large, P0 ","12"," 120,634,489 "," 120,639,038 ","M17"
"1992","ILMN_1745075","ENSG00000089157","RPLP0","ribosomal protein, large, P0 ","12"," 120,634,489 "," 120,639,038 ","M17"
"1993","ILMN_1703720","ENSG00000115128","SF3B14","Pre-mRNA branch site protein p14  ","2"," 24,290,454 "," 24,299,313 ","M17"
"1994","ILMN_2326262","ENSG00000095637","SORBS1","sorbin and SH3 domain containing 1 ","10"," 97,071,528 "," 97,321,171 ","M17"
"1995","ILMN_2234758","ENSG00000140319","SRP14","signal recognition particle 14kDa (homologous Alu RNA binding protein) ","15"," 40,327,940 "," 40,331,389 ","M17"
"1996","ILMN_1742260","ENSG00000138434","SSFA2","sperm specific antigen 2 ","2"," 182,756,560 "," 182,795,465 ","M17"
"1997","ILMN_2391355","ENSG00000124356","STAMBP","STAM binding protein ","2"," 74,056,086 "," 74,100,786 ","M17"
"1998","ILMN_2394498","ENSG00000117614","SYF2","SYF2 homolog, RNA splicing factor (S. cerevisiae) ","1"," 25,549,170 "," 25,558,993 ","M17"
"1999","ILMN_1764087","ENSG00000008282","SYPL1","synaptophysin-like 1 ","7"," 105,730,949 "," 105,753,022 ","M17"
"2000","ILMN_1736585","ENSG00000170348","TMED10","transmembrane emp24-like trafficking protein 10 (yeast) ","14"," 75,598,173 "," 75,643,334 ","M17"
"2001","ILMN_1661593","ENSG00000171928","TVP23B","trans-golgi network vesicle protein 23 homolog B (S. cerevisiae) ","17"," 18,684,308 "," 18,710,027 ","M17"
"2002","ILMN_1658830","ENSG00000166272","WBP1L","WW domain binding protein 1-like ","10"," 104,503,727 "," 104,576,021 ","M17"
"2003","ILMN_2150258","ENSG00000152518","ZFP36L2","ZFP36 ring finger protein-like 2 ","2"," 43,449,541 "," 43,453,748 ","M17"
"2004","ILMN_1770085","ENSG00000159388","BTG2","BTG family, member 2 ","1"," 203,274,619 "," 203,278,730 ","M18"
"2005","ILMN_1720048","ENSG00000108691","CCL2","chemokine (C-C motif) ligand 2 ","17"," 32,582,304 "," 32,584,222 ","M18"
"2006","ILMN_1671509","ENSG00000006075","CCL3","chemokine (C-C motif) ligand 3 ","17"," 34,415,602 "," 34,417,515 ","M18"
"2007","ILMN_1773245","ENSG00000205021","CCL3L1","chemokine (C-C motif) ligand 3-like 1 ","17"," 34,623,842 "," 34,625,731 ","M18"
"2008","ILMN_1747355","ENSG00000256515","CCL3L3","chemokine (C-C motif) ligand 3-like 3 ","17"," 34,522,268 "," 34,524,157 ","M18"
"2009","ILMN_2105573","ENSG00000256515","CCL3L3","chemokine (C-C motif) ligand 3-like 3 ","17"," 34,522,268 "," 34,524,157 ","M18"
"2010","ILMN_2218856","ENSG00000256515","CCL3L3","chemokine (C-C motif) ligand 3-like 3 ","17"," 34,522,268 "," 34,524,157 ","M18"
"2011","ILMN_1716276","ENSG00000197262","CCL4L2","chemokine (C-C motif) ligand 4-like 2 ","17"," 34,639,793 "," 34,641,846 ","M18"
"2012","ILMN_2100209","ENSG00000197262","CCL4L2","chemokine (C-C motif) ligand 4-like 2 ","17"," 34,639,793 "," 34,641,846 ","M18"
"2013","ILMN_1772964","ENSG00000108700","CCL8","chemokine (C-C motif) ligand 8 ","17"," 32,646,055 "," 32,648,421 ","M18"
"2014","ILMN_2188333","ENSG00000110848","CD69","CD69 molecule ","12"," 9,905,082 "," 9,913,497 ","M18"
"2015","ILMN_1780582","ENSG00000112149","CD83","CD83 molecule ","6"," 14,117,872 "," 14,137,149 ","M18"
"2016","ILMN_1741021","ENSG00000138135","CH25H","cholesterol 25-hydroxylase ","10"," 90,965,694 "," 90,967,071 ","M18"
"2017","ILMN_1703123","ENSG00000144655","CSRNP1","cysteine-serine-rich nuclear protein 1 ","3"," 39,183,346 "," 39,196,053 ","M18"
"2018","ILMN_1781285","ENSG00000120129","DUSP1","dual specificity phosphatase 1 ","5"," 172,195,093 "," 172,198,198 ","M18"
"2019","ILMN_1762899","ENSG00000120738","EGR1","early growth response 1 ","5"," 137,801,179 "," 137,805,004 ","M18"
"2020","ILMN_1669523","ENSG00000170345","FOS","FBJ murine osteosarcoma viral oncogene homolog ","14"," 75,745,477 "," 75,748,933 ","M18"
"2021","ILMN_1751607","ENSG00000125740","FOSB","FBJ murine osteosarcoma viral oncogene homolog B ","19"," 45,971,253 "," 45,978,437 ","M18"
"2022","ILMN_1718977","ENSG00000099860","GADD45B","growth arrest and DNA-damage-inducible, beta ","19"," 2,476,120 "," 2,478,257 ","M18"
"2023","ILMN_1798706","ENSG00000169508","GPR183","G protein-coupled receptor 183 ","13"," 99,946,784 "," 99,959,659 ","M18"
"2024","ILMN_1700584","ENSG00000160888","IER2","immediate early response 2 ","19"," 13,261,229 "," 13,265,722 ","M18"
"2025","ILMN_1682717","ENSG00000137331","IER3","immediate early response 3 ","6"," 30,710,976 "," 30,712,331 ","M18"
"2026","ILMN_1658483","ENSG00000115008","IL1A","interleukin 1, alpha ","2"," 113,531,492 "," 113,542,167 ","M18"
"2027","ILMN_1775501","ENSG00000125538","IL1B","interleukin 1, beta ","2"," 113,587,328 "," 113,594,480 ","M18"
"2028","ILMN_1806023","ENSG00000177606","JUN","jun proto-oncogene ","1"," 59,246,465 "," 59,249,785 ","M18"
"2029","ILMN_2086077","ENSG00000171223","JUNB","jun B proto-oncogene ","19"," 12,902,310 "," 12,904,124 ","M18"
"2030","ILMN_1735930","ENSG00000127528","KLF2","Kruppel-like factor 2 (lung) ","19"," 16,435,628 "," 16,438,685 ","M18"
"2031","ILMN_2137789","ENSG00000136826","KLF4","Kruppel-like factor 4 (gut) ","9"," 110,247,133 "," 110,252,763 ","M18"
"2032","ILMN_1756806","ENSG00000143384","MCL1","myeloid cell leukemia sequence 1 (BCL2-related) ","1"," 150,547,032 "," 150,552,066 ","M18"
"2033","ILMN_1719695","ENSG00000144802","NFKBIZ","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta ","3"," 101,546,835 "," 101,579,866 ","M18"
"2034","ILMN_1780546","ENSG00000099985","OSM","oncostatin M ","22"," 30,658,818 "," 30,662,829 ","M18"
"2035","ILMN_1723141","ENSG00000165312","OTUD1","OTU domain containing 1 ","10"," 23,728,198 "," 23,731,308 ","M18"
"2036","ILMN_1659936","ENSG00000087074","PPP1R15A","protein phosphatase 1, regulatory subunit 15A ","19"," 49,375,649 "," 49,379,314 ","M18"
"2037","ILMN_1677511","ENSG00000073756","PTGS2","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) ","1"," 186,640,923 "," 186,649,559 ","M18"
"2038","ILMN_1808226","ENSG00000143333","RGS16","regulator of G-protein signaling 16 ","1"," 182,567,758 "," 182,573,543 ","M18"
"2039","ILMN_1801934","ENSG00000167565","SERTAD3","SERTA domain containing 3 ","19"," 40,946,751 "," 40,950,612 ","M18"
"2040","ILMN_1720771","ENSG00000135604","STX11","syntaxin 11 ","6"," 144,471,663 "," 144,509,507 ","M18"
"2041","ILMN_1728106","ENSG00000232810","TNF","tumor necrosis factor ","6"," 31,543,344 "," 31,546,113 ","M18"
"2042","ILMN_1672004","ENSG00000141232","TOB1","transducer of ERBB2, 1 ","17"," 48,939,584 "," 48,945,339 ","M18"
"2043","ILMN_1720829","ENSG00000128016","ZFP36","ZFP36 ring finger protein ","19"," 39,897,453 "," 39,900,052 ","M18"
"2044","ILMN_2194009","ENSG00000125257","ABCC4","ATP-binding cassette, sub-family C (CFTR/MRP), member 4 ","13"," 95,672,083 "," 95,953,687 ","M19"
"2045","ILMN_1785661","ENSG00000107362","ABHD17B","abhydrolase domain containing 17B ","9"," 74,477,368 "," 74,525,847 ","M19"
"2046","ILMN_1720858","ENSG00000146386","ABRACL","ABRA C-terminal like ","6"," 139,349,819 "," 139,364,439 ","M19"
"2047","ILMN_1679280","ENSG00000226131","AC073465.3","","2"," 174,350,593 "," 174,351,090 ","M19"
"2048","ILMN_1690295","ENSG00000223433","AC079767.3","","2"," 208,519,505 "," 208,519,675 ","M19"
"2049","ILMN_1660199","ENSG00000167315","ACAA2","acetyl-CoA acyltransferase 2 ","18"," 47,309,869 "," 47,340,330 ","M19"
"2050","ILMN_1654861","ENSG00000100412","ACO2","aconitase 2, mitochondrial ","22"," 41,865,129 "," 41,924,993 ","M19"
"2051","ILMN_1684585","ENSG00000151726","ACSL1","acyl-CoA synthetase long-chain family member 1 ","4"," 185,676,749 "," 185,747,972 ","M19"
"2052","ILMN_1657153","ENSG00000115091","ACTR3","ARP3 actin-related protein 3 homolog (yeast) ","2"," 114,647,537 "," 114,720,173 ","M19"
"2053","ILMN_1657993","ENSG00000101126","ADNP","activity-dependent neuroprotector homeobox ","20"," 49,505,585 "," 49,547,958 ","M19"
"2054","ILMN_1664006","ENSG00000162688","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase ","1"," 100,315,640 "," 100,389,579 ","M19"
"2055","ILMN_1797974","ENSG00000146416","AIG1","androgen-induced 1 ","6"," 143,381,633 "," 143,661,441 ","M19"
"2056","ILMN_1670542","ENSG00000004455","AK2","adenylate kinase 2 ","1"," 33,473,585 "," 33,546,597 ","M19"
"2057","ILMN_1712530","ENSG00000121057","AKAP1","A kinase (PRKA) anchor protein 1 ","17"," 55,162,453 "," 55,198,710 ","M19"
"2058","ILMN_2308950","ENSG00000131016","AKAP12","A kinase (PRKA) anchor protein 12 ","6"," 151,561,134 "," 151,679,692 ","M19"
"2059","ILMN_1665982","ENSG00000166971","AKTIP","AKT interacting protein ","16"," 53,525,291 "," 53,538,323 ","M19"
